"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"278","GOLGA8C","",-0.667111765805487,0.0117,"hLCL","Talkowski et al. 2014","","No"
"279","ZC3H18","",-0.219854064212019,0.0117,"hLCL","Talkowski et al. 2014","","No"
"280","ATF2","",-0.381920696287406,0.0117,"hLCL","Talkowski et al. 2014","","No"
"281","LOC100128361","",-1.04007369207127,0.0117,"hLCL","Talkowski et al. 2014","","No"
"282","GOLGA8DP","",-0.689002488345008,0.0118,"hLCL","Talkowski et al. 2014","","No"
"283","FBXO40","",-0.630041113578657,0.012,"hLCL","Talkowski et al. 2014","","No"
"284","TPR","",-0.337624807453628,0.0123,"hLCL","Talkowski et al. 2014","","No"
"285","KIAA1468","",-0.311126818131485,0.0123,"hLCL","Talkowski et al. 2014","","No"
"286","TBCK","",-0.526703678753436,0.0123,"hLCL","Talkowski et al. 2014","","No"
"287","METTL20","",-0.372867895042124,0.0124,"hLCL","Talkowski et al. 2014","","No"
"288","C15orf42","",-0.538524767796059,0.0124,"hLCL","Talkowski et al. 2014","","No"
"289","TMCO6","",-0.361101318934265,0.0124,"hLCL","Talkowski et al. 2014","","No"
"290","OTX2OS1","",-1.09511443960221,0.01243856,"hLCL","Talkowski et al. 2014","","No"
"291","CHAF1A","",-0.354737607260826,0.0125,"hLCL","Talkowski et al. 2014","","No"
"292","CCDC14","",-0.368309208886827,0.0125,"hLCL","Talkowski et al. 2014","","No"
"293","HERC2P9","",-0.487215855808973,0.0126,"hLCL","Talkowski et al. 2014","","No"
"294","FAM91A1","",-0.305918358337889,0.0126,"hLCL","Talkowski et al. 2014","","No"
"295","RBM17","",-0.190082721146447,0.0127,"hLCL","Talkowski et al. 2014","","No"
"296","PRDM10","",-0.432492380277212,0.0127,"hLCL","Talkowski et al. 2014","","No"
"297","PRRT1","",0.949178431057499,0.0127,"hLCL","Talkowski et al. 2014","","No"
"298","NUP107","",-0.325774087510507,0.012740142,"hLCL","Talkowski et al. 2014","","No"
