"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"214","LOC440896","",-1.11892329943872,0.0056,"hLCL","Talkowski et al. 2014","","No"
"215","CHIT1","",-1.22804547118099,0.0057,"hLCL","Talkowski et al. 2014","","No"
"216","SCARF1","",1.53127263384694,0.0057,"hLCL","Talkowski et al. 2014","","No"
"217","HIST1H2AG","",-0.596604176392025,0.0057,"hLCL","Talkowski et al. 2014","","No"
"218","SLC39A1","",0.362507382343085,0.0058,"hLCL","Talkowski et al. 2014","","No"
"219","TSPAN4","",1.0427828953103,0.0059,"hLCL","Talkowski et al. 2014","","No"
"220","SSTR2","",1.1302452245395,0.0059,"hLCL","Talkowski et al. 2014","","No"
"221","CRYGS","",-0.621853906532294,0.0059,"hLCL","Talkowski et al. 2014","","No"
"222","MRPL1","",-0.365038996661973,0.0059,"hLCL","Talkowski et al. 2014","","No"
"223","PTK7","",2.6833946244055,0.0059,"hLCL","Talkowski et al. 2014","","No"
"224","VPS4A","",0.181415073044092,0.006,"hLCL","Talkowski et al. 2014","","No"
"225","TAF9","",-0.243756253266111,0.006,"hLCL","Talkowski et al. 2014","","No"
"226","VWA7","",-0.724215852048033,0.006,"hLCL","Talkowski et al. 2014","","No"
"227","H2AFB1","",-1.71389333793216,0.006,"hLCL","Talkowski et al. 2014","","No"
"228","8-Sep","",0.364641406597264,0.0061,"hLCL","Talkowski et al. 2014","","No"
"229","RELL2","",-0.605231470065305,0.0061,"hLCL","Talkowski et al. 2014","","No"
"230","SLC20A2","",0.303750013989446,0.0061,"hLCL","Talkowski et al. 2014","","No"
"231","BCAR3","",-1.53047313177386,0.0062,"hLCL","Talkowski et al. 2014","","No"
"232","SUPV3L1","",0.165416047578015,0.0062,"hLCL","Talkowski et al. 2014","","No"
"233","ARPC3","",-0.222122564740945,0.0062,"hLCL","Talkowski et al. 2014","","No"
"234","LOC100506930","",-0.744451573803639,0.0062,"hLCL","Talkowski et al. 2014","","No"
"235","LOC256021","",1.50297961908066,0.00627,"hLCL","Talkowski et al. 2014","","No"
"236","CARS2","",-0.33760491578137,0.0063,"hLCL","Talkowski et al. 2014","","No"
"237","OBSL1","",1.40742768883868,0.0063,"hLCL","Talkowski et al. 2014","","No"
"238","LOC550643","",0.228401598856678,0.0063,"hLCL","Talkowski et al. 2014","","No"
"239","TRAF3","",0.342625828314518,0.0064,"hLCL","Talkowski et al. 2014","","No"
"240","SNX29","",0.434769251406009,0.0064,"hLCL","Talkowski et al. 2014","","No"
"241","LOC100506779","",-0.37993737869816,0.0064,"hLCL","Talkowski et al. 2014","","No"
"242","METTL8","",-0.487975557148909,0.0064,"hLCL","Talkowski et al. 2014","","No"
"243","DLL1","",1.51381011836951,0.0064,"hLCL","Talkowski et al. 2014","","No"
"244","MSTO2P","",-0.266739246252309,0.0065,"hLCL","Talkowski et al. 2014","","No"
"245","CEND1","",-1.50188020969679,0.0065,"hLCL","Talkowski et al. 2014","","No"
"246","C10orf128","",1.01872956545644,0.0066,"hLCL","Talkowski et al. 2014","","No"
"247","MATN1","",-0.669010874960482,0.0067,"hLCL","Talkowski et al. 2014","","No"
"248","EIF2C1","",0.336721860522966,0.0067,"hLCL","Talkowski et al. 2014","","No"
"249","CXXC1","",-0.613461689617974,0.0067,"hLCL","Talkowski et al. 2014","","No"
"250","SELO","",-0.28297118307153,0.0067,"hLCL","Talkowski et al. 2014","","No"
"251","C3orf25","",-1.1788230121637,0.0067,"hLCL","Talkowski et al. 2014","","No"
"252","IL12RB1","",-0.560666379353475,0.0068,"hLCL","Talkowski et al. 2014","","No"
"253","RNF145","",0.249479794234501,0.0068,"hLCL","Talkowski et al. 2014","","No"
"254","TSPAN12","",1.43688619744173,0.0068,"hLCL","Talkowski et al. 2014","","No"
"255","KATNAL1","",0.535065345999551,0.0069,"hLCL","Talkowski et al. 2014","","No"
"256","SP100","",-0.215911717186771,0.0069,"hLCL","Talkowski et al. 2014","","No"
"257","TRAPPC10","",0.318856556789502,0.0069,"hLCL","Talkowski et al. 2014","","No"
"258","ZNF587B","",-0.326154483463245,0.007,"hLCL","Talkowski et al. 2014","","No"
"259","WIBG","",-0.421349563036296,0.0071,"hLCL","Talkowski et al. 2014","","No"
"260","SRSF5","",-0.215096360893488,0.0071,"hLCL","Talkowski et al. 2014","","No"
"261","OPRL1","",0.914762529558059,0.0071,"hLCL","Talkowski et al. 2014","","No"
"262","CYFIP2","",0.302983090624569,0.0071,"hLCL","Talkowski et al. 2014","","No"
"263","USP45","",-0.326143696658117,0.0071,"hLCL","Talkowski et al. 2014","","No"
"264","QPRT","",0.699532815179708,0.00715,"hLCL","Talkowski et al. 2014","","Yes"
"265","PDZD8","",0.80960181942489,0.0072,"hLCL","Talkowski et al. 2014","","No"
"266","OAT","",-1.37411373426701,0.0072,"hLCL","Talkowski et al. 2014","","No"
"267","NEK8","",-0.269599039818076,0.0072,"hLCL","Talkowski et al. 2014","","No"
"268","MAFG","",0.306367497205048,0.0072,"hLCL","Talkowski et al. 2014","","No"
"269","ZNF789","",-0.603009135492854,0.0072,"hLCL","Talkowski et al. 2014","","No"
"270","CRB2","",-0.774456743934286,0.0072,"hLCL","Talkowski et al. 2014","","No"
"271","PPP2R4","",0.300585274477079,0.0072,"hLCL","Talkowski et al. 2014","","No"
"272","PABPC4","",-0.370433474027822,0.0073,"hLCL","Talkowski et al. 2014","","No"
