"","gene_symbol","region","expression"
"257","GSC","ctx-rh-middletemporal",1.9188513320411
"258","GSC","ctx-lh-frontalpole",1.64031890616687
"259","GSC","ctx-lh-lingual",1.60624514477754
"260","GSC","ctx-lh-lateralorbitofrontal",1.57542381461101
"261","GSC","ctx-lh-bankssts",1.79306491226348
"262","GSC","ctx-rh-inferiorparietal",1.72732596600996
"263","GSC","ctx-lh-caudalanteriorcingulate",1.47362602695524
"264","GSC","ctx-lh-lateraloccipital",1.51517971146118
"265","GSC","ctx-lh-posteriorcingulate",1.75119910235746
"266","GSC","ctx-rh-rostralmiddlefrontal",1.72648672121243
"267","GSC","ctx-lh-parstriangularis",1.65887348113548
"268","GSC","ctx-lh-middletemporal",1.60709642598325
"269","GSC","ctx-rh-bankssts",1.40361275055673
"270","GSC","ctx-lh-caudalmiddlefrontal",1.485215983756
"271","GSC","ctx-lh-temporalpole",1.77885246794848
"272","GSC","ctx-rh-paracentral",1.63156679446506
"273","PRNP","ctx-rh-insula",14.7950426775981
"274","PRNP","ctx-lh-paracentral",14.7338128195029
"275","PRNP","ctx-rh-precuneus",14.8771862399293
"276","PRNP","ctx-lh-medialorbitofrontal",14.8710823941678
"277","PRNP","ctx-rh-inferiortemporal",14.904353196181
"278","PRNP","ctx-rh-medialorbitofrontal",14.9053722329736
"279","PRNP","ctx-rh-precentral",14.7007501522262
"280","PRNP","ctx-rh-lateralorbitofrontal",14.8592930905625
"281","PRNP","ctx-rh-parahippocampal",14.9840854383715
"282","PRNP","ctx-lh-superiortemporal",14.7926770751645
"283","PRNP","ctx-lh-parahippocampal",14.7683436746018
"284","PRNP","ctx-rh-superiorparietal",14.8436697156923
"285","PRNP","ctx-lh-precuneus",14.7206476346483
"286","PRNP","ctx-lh-inferiortemporal",14.8159596020483
"287","PRNP","ctx-rh-supramarginal",14.8512392106324
"288","PRNP","ctx-rh-parsopercularis",14.6441980266448
"289","PRNP","ctx-rh-lingual",14.7710296008701
"290","PRNP","ctx-lh-isthmuscingulate",14.7023518973886
"291","PRNP","ctx-rh-isthmuscingulate",14.8615087767636
"292","PRNP","ctx-rh-lateraloccipital",14.7608612150249
"293","PRNP","ctx-rh-superiortemporal",14.914531278472
"294","PRNP","ctx-lh-entorhinal",14.8872387206195
"295","PRNP","ctx-rh-temporalpole",14.7382044234164
"296","PRNP","ctx-lh-superiorparietal",14.8059372777276
"297","PRNP","ctx-lh-parsorbitalis",14.8804522387518
"298","PRNP","ctx-rh-caudalmiddlefrontal",14.814582772553
"299","PRNP","ctx-rh-entorhinal",14.9183328810847
"300","PRNP","ctx-lh-fusiform",14.8941719017555
"301","PRNP","ctx-rh-pericalcarine",14.7383312265007
"302","PRNP","ctx-rh-caudalanteriorcingulate",14.8914629899978
"303","PRNP","ctx-rh-frontalpole",14.7337829516653
"304","PRNP","ctx-rh-parstriangularis",14.7948606759714
"305","PRNP","ctx-rh-postcentral",14.7659712695703
"306","PRNP","ctx-rh-rostralanteriorcingulate",14.9224247929018
"307","PRNP","ctx-lh-superiorfrontal",14.8372955883702
"308","PRNP","ctx-lh-rostralanteriorcingulate",14.8585431024333
"309","PRNP","ctx-lh-precentral",14.6831836554082
"310","PRNP","ctx-lh-cuneus",14.6070751348753
"311","PRNP","ctx-rh-posteriorcingulate",14.9058945352059
"312","PRNP","ctx-lh-parsopercularis",14.9104648940979
"313","PRNP","ctx-lh-insula",14.8158742873678
"314","PRNP","ctx-rh-transversetemporal",14.8724184630084
"315","PRNP","ctx-rh-superiorfrontal",14.7307567813343
"316","PRNP","ctx-rh-parsorbitalis",14.7946797767839
"317","PRNP","ctx-lh-transversetemporal",14.6658156469489
"318","PRNP","ctx-rh-cuneus",14.728130652246
"319","PRNP","ctx-lh-inferiorparietal",14.7869568469693
"320","PRNP","ctx-lh-pericalcarine",14.5392939250436
"321","PRNP","ctx-lh-postcentral",14.7580817854587
"322","PRNP","ctx-lh-supramarginal",14.8138019221524
"323","PRNP","ctx-rh-fusiform",14.8911651112027
"324","PRNP","ctx-lh-rostralmiddlefrontal",14.6918477218188
"325","PRNP","ctx-rh-middletemporal",14.8574210288971
"326","PRNP","ctx-lh-frontalpole",14.8621470121459
"327","PRNP","ctx-lh-lingual",14.7527945328544
"328","PRNP","ctx-lh-lateralorbitofrontal",14.8269567571574
"329","PRNP","ctx-lh-bankssts",14.8407891598501
"330","PRNP","ctx-rh-inferiorparietal",14.8574012145897
"331","PRNP","ctx-lh-caudalanteriorcingulate",14.8452852204144
"332","PRNP","ctx-lh-lateraloccipital",14.6653211202334
"333","PRNP","ctx-lh-posteriorcingulate",14.8136635635132
"334","PRNP","ctx-rh-rostralmiddlefrontal",14.8049597020282
"335","PRNP","ctx-lh-parstriangularis",14.7768882580508
"336","PRNP","ctx-lh-middletemporal",14.8116085523327
"337","PRNP","ctx-rh-bankssts",14.9276080808488
"338","PRNP","ctx-lh-caudalmiddlefrontal",14.6997870899809
"339","PRNP","ctx-lh-temporalpole",14.6318507206506
"340","PRNP","ctx-rh-paracentral",14.7027290035957
"341","XRCC2","ctx-rh-insula",1.70172957699004
"342","XRCC2","ctx-lh-paracentral",1.60295482313227
"343","XRCC2","ctx-rh-precuneus",1.66715436808002
"344","XRCC2","ctx-lh-medialorbitofrontal",1.34961227060267
"345","XRCC2","ctx-rh-inferiortemporal",1.75551638529395
"346","XRCC2","ctx-rh-medialorbitofrontal",1.5815112652781
"347","XRCC2","ctx-rh-precentral",1.5802102963948
"348","XRCC2","ctx-rh-lateralorbitofrontal",1.52379931400541
"349","XRCC2","ctx-rh-parahippocampal",1.65365478674558
"350","XRCC2","ctx-lh-superiortemporal",1.44435700345859
"351","XRCC2","ctx-lh-parahippocampal",1.29947526041355
"352","XRCC2","ctx-rh-superiorparietal",1.7369637353903
"353","XRCC2","ctx-lh-precuneus",1.46233647527669
"354","XRCC2","ctx-lh-inferiortemporal",1.46160837048183
"355","XRCC2","ctx-rh-supramarginal",1.61877613390711
"356","XRCC2","ctx-rh-parsopercularis",1.4625653331967
"357","XRCC2","ctx-rh-lingual",1.5979320729381
"358","XRCC2","ctx-lh-isthmuscingulate",1.3818530247791
"359","XRCC2","ctx-rh-isthmuscingulate",1.63284815357111
"360","XRCC2","ctx-rh-lateraloccipital",1.6294249945357
"361","XRCC2","ctx-rh-superiortemporal",1.69178576467895
"362","XRCC2","ctx-lh-entorhinal",1.39319933842001
"363","XRCC2","ctx-rh-temporalpole",1.5331008954583
"364","XRCC2","ctx-lh-superiorparietal",1.44685126957821
"365","XRCC2","ctx-lh-parsorbitalis",1.53979176746502
"366","XRCC2","ctx-rh-caudalmiddlefrontal",1.60318517951892
"367","XRCC2","ctx-rh-entorhinal",2.1973903887715
"368","XRCC2","ctx-lh-fusiform",1.49656656101507
"369","XRCC2","ctx-rh-pericalcarine",1.58730253052788
"370","XRCC2","ctx-rh-caudalanteriorcingulate",1.51440730871051
"371","XRCC2","ctx-rh-frontalpole",1.35199956795423
"372","XRCC2","ctx-rh-parstriangularis",1.74677086743851
"373","XRCC2","ctx-rh-postcentral",1.56739248621704
"374","XRCC2","ctx-rh-rostralanteriorcingulate",1.51759788106386
"375","XRCC2","ctx-lh-superiorfrontal",1.39490659380814
"376","XRCC2","ctx-lh-rostralanteriorcingulate",1.54864682048721
"377","XRCC2","ctx-lh-precentral",1.53449227428805
"378","XRCC2","ctx-lh-cuneus",1.46706714556488
"379","XRCC2","ctx-rh-posteriorcingulate",1.72408427217864
"380","XRCC2","ctx-lh-parsopercularis",1.52260158251258
"381","XRCC2","ctx-lh-insula",1.31576849616891
"382","XRCC2","ctx-rh-transversetemporal",1.46161781338945
"383","XRCC2","ctx-rh-superiorfrontal",1.62191739284005
"384","XRCC2","ctx-rh-parsorbitalis",1.67781303586643
"385","XRCC2","ctx-lh-transversetemporal",1.53094177232221
"386","XRCC2","ctx-rh-cuneus",1.58392675921329
"387","XRCC2","ctx-lh-inferiorparietal",1.45337978387454
"388","XRCC2","ctx-lh-pericalcarine",1.5702807514832
"389","XRCC2","ctx-lh-postcentral",1.43138472894648
"390","XRCC2","ctx-lh-supramarginal",1.42989551478751
"391","XRCC2","ctx-rh-fusiform",1.68999240478748
"392","XRCC2","ctx-lh-rostralmiddlefrontal",1.42107692784277
"393","XRCC2","ctx-rh-middletemporal",1.70433247301092
"394","XRCC2","ctx-lh-frontalpole",1.62126945698337
"395","XRCC2","ctx-lh-lingual",1.40684719050993
"396","XRCC2","ctx-lh-lateralorbitofrontal",1.78669117006773
"397","XRCC2","ctx-lh-bankssts",1.60196861982313
"398","XRCC2","ctx-rh-inferiorparietal",1.85523843666029
"399","XRCC2","ctx-lh-caudalanteriorcingulate",1.4620371686602
"400","XRCC2","ctx-lh-lateraloccipital",1.42315114567141
"401","XRCC2","ctx-lh-posteriorcingulate",1.54844209627724
"402","XRCC2","ctx-rh-rostralmiddlefrontal",1.65999981998059
"403","XRCC2","ctx-lh-parstriangularis",1.86674040056995
"404","XRCC2","ctx-lh-middletemporal",1.41056959691025
"405","XRCC2","ctx-rh-bankssts",1.37605766440935
"406","XRCC2","ctx-lh-caudalmiddlefrontal",1.41370911756303
"407","XRCC2","ctx-lh-temporalpole",1.68903840491317
"408","XRCC2","ctx-rh-paracentral",1.50194720711059
"409","PLEKHM1","ctx-rh-insula",6.03947760987006
"410","PLEKHM1","ctx-lh-paracentral",6.2016848400535
"411","PLEKHM1","ctx-rh-precuneus",6.23878642518739
"412","PLEKHM1","ctx-lh-medialorbitofrontal",6.06407831391835
"413","PLEKHM1","ctx-rh-inferiortemporal",6.14619421444114
"414","PLEKHM1","ctx-rh-medialorbitofrontal",6.07140765073416
"415","PLEKHM1","ctx-rh-precentral",6.17029754301394
"416","PLEKHM1","ctx-rh-lateralorbitofrontal",6.0706830119235
